strategy,seed,episode,total_interest,months,avg_utilization,final_debt,all_paid,credit_proxy_score
NormalizedAvalanche,999,16,946.28,7,0.2077,0.0,True,815.7
PPO,999,17,2219.92,10,0.2654,0.0,True,806.2
MinimumOnly,999,17,2323.18,10,0.272,0.0,True,805.1
Snowball,999,17,2728.6,11,0.3033,0.0,True,799.9
Avalanche,999,17,2393.45,11,0.2666,0.0,True,806.0
NormalizedAvalanche,999,17,2280.21,10,0.2639,0.0,True,806.5
PPO,999,18,2221.73,15,0.1756,0.0,True,821.0
MinimumOnly,999,18,2376.71,15,0.1759,0.0,True,821.0
Snowball,999,18,2447.92,17,0.1727,0.0,True,821.5
Avalanche,999,18,2267.67,16,0.17,0.0,True,821.9
NormalizedAvalanche,999,18,2505.28,15,0.1761,0.0,True,820.9
PPO,999,19,2391.45,15,0.1696,0.0,True,822.0
MinimumOnly,999,19,2503.05,15,0.1724,0.0,True,821.5
Snowball,999,19,2542.78,15,0.1743,0.0,True,821.2
Avalanche,999,19,2398.46,15,0.1753,0.0,True,821.1
NormalizedAvalanche,999,19,2430.87,15,0.1681,0.0,True,822.3
PPO,999,20,2234.8,13,0.171,0.0,True,821.8
MinimumOnly,999,20,2277.74,12,0.1769,0.0,True,820.8
Snowball,999,20,2200.52,13,0.1728,0.0,True,821.5
Avalanche,999,20,2200.52,13,0.1728,0.0,True,821.5
NormalizedAvalanche,999,20,2310.62,12,0.1761,0.0,True,821.0
PPO,999,21,5019.1,23,0.3363,0.0,True,794.5
MinimumOnly,999,21,5441.38,24,0.3269,0.0,True,796.1
Snowball,999,21,5511.29,24,0.3431,0.0,True,793.4
Avalanche,999,21,4970.29,24,0.3395,0.0,True,794.0
NormalizedAvalanche,999,21,5487.13,23,0.34,0.0,True,793.9
PPO,999,22,5451.91,36,0.2109,0.0,True,815.2
MinimumOnly,999,22,5520.43,36,0.213,0.0,True,814.9
Snowball,999,22,5590.97,36,0.216,0.0,True,814.4
Avalanche,999,22,5533.79,36,0.2152,0.0,True,814.5
NormalizedAvalanche,999,22,5469.66,35,0.2169,0.0,True,814.2
PPO,999,23,2612.09,19,0.2418,0.0,True,810.1
MinimumOnly,999,23,2764.98,19,0.2422,0.0,True,810.0
Snowball,999,23,2922.58,20,0.2507,0.0,True,808.6
Avalanche,999,23,2585.28,20,0.2384,0.0,True,810.7
NormalizedAvalanche,999,23,2820.24,19,0.2406,0.0,True,810.3
PPO,999,24,1534.69,8,0.1953,0.0,True,817.8
MinimumOnly,999,24,1519.4,8,0.1868,0.0,True,819.2
Snowball,999,24,1864.58,9,0.2236,0.0,True,813.1
Avalanche,999,24,1749.56,9,0.2089,0.0,True,815.5
