strategy,interest_mean,interest_std,months_mean,months_std,util_mean,paid_off_pct,credit_score_mean,n_episodes
PPO,2550.35,1582.2,7.42,2.79,0.1869,100.0,819.15,1000
MinimumOnly,2502.32,1578.39,7.05,2.8,0.188,100.0,818.98,1000
Snowball,2820.82,1643.47,7.64,2.76,0.2146,100.0,814.6,1000
Avalanche,2656.82,1601.22,7.66,2.77,0.2003,100.0,816.95,1000
NormalizedAvalanche,2447.23,1573.9,6.79,2.75,0.1879,100.0,819.0,1000
