strategy,interest_mean,interest_std,months_mean,months_std,util_mean,paid_off_pct,credit_score_mean,n_episodes
PPO,2989.91,2268.28,15.5,8.21,0.2196,100.0,813.77,50
MinimumOnly,3147.59,2431.22,15.44,8.36,0.2198,100.0,813.73,50
Snowball,3301.93,2533.99,15.9,8.22,0.2305,100.0,811.97,50
Avalanche,3006.56,2221.98,15.78,8.2,0.2243,100.0,812.98,50
NormalizedAvalanche,3081.98,2363.21,15.16,8.27,0.2198,100.0,813.73,50
