strategy,seed,episode,total_interest,months,avg_utilization,final_debt,all_paid,credit_proxy_score
PPO,4242,0,1054.54,5,0.1446,0.0,True,826.1
MinimumOnly,4242,0,1070.88,5,0.1402,0.0,True,826.9
Snowball,4242,0,1249.41,5,0.17,0.0,True,822.0
Avalanche,4242,0,1096.55,5,0.1603,0.0,True,823.5
NormalizedAvalanche,4242,0,1062.86,4,0.1709,0.0,True,821.8
PPO,4242,1,8510.99,17,0.2245,0.0,True,813.0
MinimumOnly,4242,1,8310.78,16,0.2374,0.0,True,810.8
Snowball,4242,1,8658.87,17,0.2427,0.0,True,810.0
Avalanche,4242,1,8638.66,17,0.2423,0.0,True,810.0
NormalizedAvalanche,4242,1,8204.96,16,0.2359,0.0,True,811.1
PPO,4242,2,1643.74,6,0.1272,0.0,True,829.0
MinimumOnly,4242,2,1631.87,5,0.1541,0.0,True,824.6
Snowball,4242,2,2110.98,7,0.1579,0.0,True,823.9
Avalanche,4242,2,1913.9,7,0.144,0.0,True,826.2
NormalizedAvalanche,4242,2,1597.34,5,0.1507,0.0,True,825.1
PPO,4242,3,1630.15,5,0.1404,0.0,True,826.8
MinimumOnly,4242,3,1553.87,5,0.1313,0.0,True,828.3
Snowball,4242,3,1848.11,5,0.1659,0.0,True,822.6
Avalanche,4242,3,1672.96,5,0.1625,0.0,True,823.2
NormalizedAvalanche,4242,3,1526.49,4,0.1581,0.0,True,823.9
PPO,4242,4,2264.92,7,0.1935,0.0,True,818.1
MinimumOnly,4242,4,2296.75,8,0.1713,0.0,True,821.7
Snowball,4242,4,2625.91,8,0.2046,0.0,True,816.2
Avalanche,4242,4,2410.41,8,0.1846,0.0,True,819.5
NormalizedAvalanche,4242,4,2232.02,7,0.1878,0.0,True,819.0
PPO,4242,5,1156.73,4,0.1605,0.0,True,823.5
MinimumOnly,4242,5,1090.68,4,0.1473,0.0,True,825.7
Snowball,4242,5,1315.2,5,0.1648,0.0,True,822.8
Avalanche,4242,5,1328.61,5,0.1681,0.0,True,822.3
NormalizedAvalanche,4242,5,1046.1,4,0.1346,0.0,True,827.8
PPO,4242,6,774.61,4,0.2386,0.0,True,810.6
MinimumOnly,4242,6,649.29,4,0.1771,0.0,True,820.8
Snowball,4242,6,799.83,4,0.2531,0.0,True,808.2
Avalanche,4242,6,799.83,4,0.2531,0.0,True,808.2
NormalizedAvalanche,4242,6,566.97,3,0.1775,0.0,True,820.7
PPO,4242,7,1447.74,6,0.1561,0.0,True,824.2
MinimumOnly,4242,7,1286.87,6,0.1325,0.0,True,828.1
Snowball,4242,7,1567.53,6,0.1766,0.0,True,820.9
Avalanche,4242,7,1338.77,6,0.1448,0.0,True,826.1
NormalizedAvalanche,4242,7,1305.58,5,0.1604,0.0,True,823.5
PPO,4242,8,1192.53,6,0.1795,0.0,True,820.4
MinimumOnly,4242,8,1110.02,6,0.1539,0.0,True,824.6
Snowball,4242,8,1278.0,6,0.1827,0.0,True,819.9
Avalanche,4242,8,1252.45,6,0.1911,0.0,True,818.5
NormalizedAvalanche,4242,8,1092.72,5,0.1812,0.0,True,820.1
PPO,4242,9,3338.47,8,0.1851,0.0,True,819.5
MinimumOnly,4242,9,3231.69,7,0.2018,0.0,True,816.7
Snowball,4242,9,3859.78,9,0.2015,0.0,True,816.8
Avalanche,4242,9,3859.78,9,0.2015,0.0,True,816.8
NormalizedAvalanche,4242,9,3236.64,7,0.2018,0.0,True,816.7
PPO,4242,10,2033.58,8,0.175,0.0,True,821.1
MinimumOnly,4242,10,2023.45,7,0.1998,0.0,True,817.0
Snowball,4242,10,2413.97,8,0.2191,0.0,True,813.9
Avalanche,4242,10,2243.68,8,0.2041,0.0,True,816.3
NormalizedAvalanche,4242,10,1981.4,7,0.1927,0.0,True,818.2
PPO,4242,11,1320.34,6,0.221,0.0,True,813.5
MinimumOnly,4242,11,1251.76,5,0.2377,0.0,True,810.8
Snowball,4242,11,1737.92,6,0.3126,0.0,True,798.4
Avalanche,4242,11,1184.29,6,0.1943,0.0,True,817.9
NormalizedAvalanche,4242,11,1123.41,5,0.2039,0.0,True,816.4
PPO,4242,12,2435.15,7,0.1551,0.0,True,824.4
MinimumOnly,4242,12,2402.83,7,0.1542,0.0,True,824.6
Snowball,4242,12,2675.12,7,0.179,0.0,True,820.5
Avalanche,4242,12,2464.83,6,0.1879,0.0,True,819.0
NormalizedAvalanche,4242,12,2330.63,6,0.1704,0.0,True,821.9
PPO,4242,13,1059.92,5,0.167,0.0,True,822.5
MinimumOnly,4242,13,1059.64,4,0.2184,0.0,True,814.0
Snowball,4242,13,1401.04,5,0.2671,0.0,True,805.9
Avalanche,4242,13,1335.22,5,0.2519,0.0,True,808.4
NormalizedAvalanche,4242,13,970.14,4,0.1854,0.0,True,819.4
PPO,4242,14,4121.93,9,0.1818,0.0,True,820.0
MinimumOnly,4242,14,3974.44,9,0.1763,0.0,True,820.9
Snowball,4242,14,4250.18,9,0.1907,0.0,True,818.5
Avalanche,4242,14,3957.0,9,0.1813,0.0,True,820.1
NormalizedAvalanche,4242,14,3936.54,8,0.1979,0.0,True,817.3
PPO,4242,15,4303.09,11,0.209,0.0,True,815.5
MinimumOnly,4242,15,4352.97,11,0.2116,0.0,True,815.1
Snowball,4242,15,4628.02,11,0.2327,0.0,True,811.6
Avalanche,4242,15,4486.7,11,0.2267,0.0,True,812.6
NormalizedAvalanche,4242,15,4318.97,10,0.2279,0.0,True,812.4
PPO,4242,16,5830.15,13,0.1982,0.0,True,817.3
MinimumOnly,4242,16,5639.13,12,0.2163,0.0,True,814.3
Snowball,4242,16,5890.5,12,0.2317,0.0,True,811.8
Avalanche,4242,16,5735.98,12,0.232,0.0,True,811.7
NormalizedAvalanche,4242,16,5631.32,12,0.2136,0.0,True,814.8
PPO,4242,17,2271.19,6,0.235,0.0,True,811.2
MinimumOnly,4242,17,2061.89,6,0.1925,0.0,True,818.2
Snowball,4242,17,2583.88,7,0.2167,0.0,True,814.2
Avalanche,4242,17,2215.84,6,0.2311,0.0,True,811.9
NormalizedAvalanche,4242,17,2024.01,6,0.1867,0.0,True,819.2
PPO,4242,18,1868.68,6,0.1407,0.0,True,826.8
MinimumOnly,4242,18,1819.25,5,0.1523,0.0,True,824.9
Snowball,4242,18,2381.75,6,0.1831,0.0,True,819.8
Avalanche,4242,18,1832.87,7,0.1244,0.0,True,829.5
NormalizedAvalanche,4242,18,1673.98,5,0.1395,0.0,True,827.0
PPO,4242,19,2471.9,7,0.1596,0.0,True,823.7
MinimumOnly,4242,19,2431.33,7,0.1564,0.0,True,824.2
Snowball,4242,19,2785.43,7,0.1894,0.0,True,818.8
Avalanche,4242,19,2837.48,8,0.1703,0.0,True,821.9
NormalizedAvalanche,4242,19,2408.72,7,0.1536,0.0,True,824.7
PPO,4242,20,1860.07,8,0.1514,0.0,True,825.0
MinimumOnly,4242,20,1892.28,7,0.1824,0.0,True,819.9
Snowball,4242,20,2032.22,7,0.2033,0.0,True,816.5
Avalanche,4242,20,2032.22,7,0.2033,0.0,True,816.5
NormalizedAvalanche,4242,20,1796.68,6,0.195,0.0,True,817.8
PPO,4242,21,2391.01,8,0.2666,0.0,True,806.0
MinimumOnly,4242,21,2378.79,8,0.263,0.0,True,806.6
Snowball,4242,21,2704.72,8,0.3099,0.0,True,798.9
Avalanche,4242,21,2497.54,8,0.2853,0.0,True,802.9
NormalizedAvalanche,4242,21,2256.21,7,0.2819,0.0,True,803.5
PPO,4242,22,926.78,6,0.1173,0.0,True,830.6
MinimumOnly,4242,22,950.68,5,0.1519,0.0,True,824.9
Snowball,4242,22,1152.29,6,0.1703,0.0,True,821.9
Avalanche,4242,22,1030.57,6,0.1517,0.0,True,825.0
NormalizedAvalanche,4242,22,896.42,5,0.1354,0.0,True,827.7
PPO,4242,23,2962.68,7,0.2739,0.0,True,804.8
MinimumOnly,4242,23,2921.66,7,0.2744,0.0,True,804.7
Snowball,4242,23,3110.75,7,0.2956,0.0,True,801.2
Avalanche,4242,23,2929.64,7,0.2948,0.0,True,801.4
NormalizedAvalanche,4242,23,2846.39,7,0.2681,0.0,True,805.8
PPO,4242,24,1944.2,8,0.1538,0.0,True,824.6
MinimumOnly,4242,24,2008.73,7,0.1862,0.0,True,819.3
Snowball,4242,24,2060.94,7,0.1944,0.0,True,817.9
